Trial,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8,Person9,Person10,Person11,Person12,Person13,Person14,Person15
1,3.12,6.41,0.96,6.41,0.72,4.11,7.46,2.32,1.35,3.25,3.55,0.15,6.56,12.7,0.93
2,1.07,5.49,1.57,5.77,5.23,7.84,1.45,5.1,6.08,4.44,3.71,5.3,1.22,1.95,3.78
3,4.34,3.51,5.98,3.59,6.23,1.8,3.48,4.89,7.33,4.39,4.56,2.9,0.42,6.29,0.29
4,3.42,3.06,3.17,3.37,1.82,1.2,1.29,0.11,6.82,2.21,12.22,7.12,7.68,5.97,0.54
5,0.63,1.71,8.48,5.41,0.85,4.76,3.46,6.02,5.06,6.33,3.74,5.73,2.61,4.05,1.16
6,5.91,5.22,7.29,2.18,2.43,3.33,3.13,6.34,2.4,2.54,1.62,2.07,1.99,7.01,6.54
7,0.41,4.87,3.03,6.0,0.15,1.34,5.66,3.67,1.49,1.15,1.47,11.71,5.78,9.26,4.01
8,1.18,2.91,6.05,7.9,4.49,2.9,4.87,2.15,7.37,4.64,2.56,1.89,0.05,0.23,10.81
9,6.23,2.99,4.96,4.11,4.66,6.1,2.9,3.86,3.11,0.52,6.79,3.12,2.63,7.1,0.92
10,6.52,4.84,5.93,3.59,5.67,2.81,1.84,0.8,3.52,3.97,3.81,7.32,0.83,0.6,7.95
11,7.39,2.23,0.51,6.62,5.12,4.35,4.16,3.39,1.06,0.86,1.78,2.81,9.0,6.22,4.5
12,4.54,0.72,6.55,0.56,7.78,5.66,3.31,4.15,2.12,8.04,2.39,4.09,4.99,3.28,1.82
13,1.65,4.1,4.37,4.58,7.09,6.99,1.7,4.38,7.18,3.54,1.28,3.06,1.99,2.15,5.94
14,2.12,1.59,6.33,1.32,6.72,2.75,1.09,2.34,6.77,0.85,8.31,2.55,6.24,10.74,0.28
15,4.27,5.18,7.46,3.66,0.85,5.43,4.48,4.17,3.32,2.49,3.12,2.75,4.64,2.92,5.26
16,5.47,6.04,6.31,2.68,6.88,2.8,0.11,5.15,3.35,5.06,6.28,4.64,2.34,0.35,2.54
17,4.49,4.38,2.68,5.61,6.95,1.33,1.64,3.65,6.43,5.9,4.54,4.53,0.64,4.97,2.26
18,3.75,4.82,5.23,6.69,5.35,2.22,0.69,3.32,1.57,6.75,5.19,2.41,0.78,3.65,7.58
19,8.0,1.49,3.92,7.21,4.71,5.15,5.61,4.57,0.92,1.11,4.68,3.11,5.71,0.26,3.55
20,0.67,2.32,7.16,4.67,7.6,6.27,1.41,2.54,1.61,3.7,3.81,2.33,4.47,3.4,8.04
21,2.09,7.82,3.8,0.2,5.13,1.07,6.9,1.86,7.66,6.36,6.12,3.56,3.52,2.0,1.91
22,4.91,3.54,7.79,4.3,0.18,5.48,7.38,4.17,3.0,3.52,0.13,0.31,8.32,5.36,1.61
23,7.49,2.89,1.01,2.26,2.96,1.71,0.72,7.83,5.67,4.02,4.73,4.57,4.74,6.82,2.58
24,0.87,1.03,1.85,7.53,3.68,8.02,1.4,8.13,2.49,4.8,4.74,5.8,5.08,0.8,3.78
25,0.31,0.25,1.95,7.15,3.28,2.03,8.19,1.37,9.67,6.69,4.32,3.46,3.31,0.18,7.84
26,4.59,2.03,5.38,7.83,1.18,3.52,0.18,7.67,7.31,1.52,3.62,2.61,4.69,3.45,4.42
27,7.09,4.0,6.6,0.76,3.68,3.26,1.01,4.67,6.81,0.45,1.58,1.15,0.6,5.26,13.08
28,2.33,2.97,5.83,1.67,2.6,1.11,9.08,0.92,4.81,8.17,5.04,7.55,3.89,3.88,0.15
29,1.64,6.96,3.12,3.12,0.31,0.14,1.61,8.94,7.25,2.21,0.1,8.53,2.03,2.71,11.33
30,0.56,6.95,5.39,1.38,1.7,0.26,3.47,5.42,9.31,4.17,1.33,7.21,1.84,10.99,0.02
31,5.8,4.92,4.44,7.11,2.78,0.86,5.56,1.61,3.66,6.12,6.73,1.3,1.04,2.05,6.02
32,3.42,3.36,0.47,0.28,5.76,7.03,2.33,8.92,2.19,8.16,1.56,2.6,3.7,1.05,9.17
33,0.41,0.41,6.73,7.36,1.5,2.16,5.75,5.47,4.1,7.66,2.71,0.8,7.15,4.36,3.43
34,3.73,5.21,1.37,7.33,5.39,0.67,3.71,7.8,6.55,5.27,4.29,2.06,4.1,0.92,1.6
35,0.85,2.38,5.91,1.6,5.13,3.62,7.95,1.2,4.52,5.05,5.87,1.22,1.83,7.97,4.9
36,1.19,1.23,8.47,4.07,2.57,5.53,6.59,4.05,2.38,0.51,8.09,4.13,2.87,5.59,2.73
37,3.61,1.17,4.33,5.68,4.97,3.54,1.86,1.87,0.48,1.85,0.45,9.25,0.29,8.67,11.98
38,2.38,7.23,6.69,1.66,5.91,4.19,1.63,5.92,0.91,3.82,6.73,0.37,1.4,8.32,2.84
39,1.04,3.79,0.92,3.08,4.42,0.77,5.15,2.42,6.36,4.23,9.12,2.52,6.91,2.52,6.75
40,4.06,4.87,1.26,1.76,5.62,5.19,2.38,5.46,5.7,3.26,2.44,7.63,0.89,6.39,3.09
41,5.94,2.31,5.72,7.42,0.41,5.22,2.97,1.63,6.63,3.15,3.27,3.8,5.02,1.16,5.35
42,1.63,2.53,7.61,5.11,7.57,0.34,1.22,5.31,2.24,8.71,5.03,2.78,6.34,2.11,1.47
43,0.78,4.47,2.64,2.72,0.84,5.79,7.04,2.5,0.39,0.68,12.31,1.0,12.48,3.11,3.25
44,5.02,5.85,4.52,5.61,0.45,3.83,2.71,1.4,7.68,1.94,7.66,6.64,1.8,1.75,3.14
45,2.88,2.93,6.57,3.71,4.69,3.82,1.66,5.28,7.59,6.64,2.2,2.67,3.82,0.37,5.17
46,0.79,5.01,1.27,4.33,6.75,7.2,3.12,3.11,2.0,2.0,6.89,6.65,0.68,3.73,6.47
47,7.47,7.07,4.68,0.92,4.14,1.88,3.41,5.28,0.62,3.02,4.77,4.28,2.59,5.61,4.26
48,0.5,0.99,4.29,7.59,3.42,4.19,0.87,4.67,3.8,6.96,1.01,5.32,2.85,12.98,0.56
49,1.53,2.32,7.59,6.74,7.35,4.19,3.07,4.64,2.71,6.33,3.54,2.42,0.76,5.13,1.68
50,7.1,4.17,0.14,1.87,4.89,3.48,1.15,0.8,6.66,5.13,1.51,1.39,6.66,3.31,11.74
