Trial, P1, P2, P3 
1, 9.81, 1.33, 3.86
2, 0.50, 3.62, 10.88
3, 1.62, 11.19, 2.19
4, 0.50, 8.75, 5.75
5, 9.80, 3.01, 2.19
6, 4.54, 3.01, 7.45
7, 4.88, 0.50, 9.62
8, 8.39, 3.69, 2.92
9, 1.89, 0.65, 12.46
10, 9.62, 2.28, 3.10
11,7.38, 3.42, 4.20
12,3.72, 5.83, 5.45
13,6.95, 5.09, 0.16
14,6.95, 5.09, 2.96
15，0.50, 1.75, 12.75
16,4.31, 6.04, 4.65
17,7.38, 2.62, 5.00
18, 8.39, 3.36, 3.25
19, 0.50, 3.54, 10.96
20, 9.24, 4.95, 0.81
21, 4.04, 0.60, 10.36
22, 0.88, 9.51, 4.61
23, 1.39, 7.62, 5.99
24, 0.77, 8.53, 5.66
25, 8.95, 1.66, 4.39
26, 9.26, 3.37, 2.37
27, 1.63, 6.49, 6.88
28, 1.84, 12.35, 0.81
29, 5.68, 6.85, 2.47
30, 6.58, 1.06, 7.36
31, 6.86, 2.05, 6.09
32, 9.04, 2.94, 3.02
33, 4.20, 7.79, 3.01
34, 2.47, 2.44, 10.09
35, 7.21, 6.20, 1.59
36, 9.20, 5.52, 0.28
37, 6.28, 1.65, 7.07
38, 7.94, 4.01, 3.05
39, 0.64, 5.51, 8.85
40, 8.05, 1.88, 5.07
41, 5.92, 1.60, 7.48
42, 4.88, 1.80, 8.32
43, 7.00, 2.48, 5.52
44, 2.74, 10.61, 1.65
45, 1.42, 6.64, 6.94
46, 3.51, 9.53, 1.96
47, 8.98, 4.23, 1.79
48, 2.35, 10.92, 1.73
49, 3.51, 1.40, 10.09
50, 8.95, 0.50, 5.55
52, 0.55, 8.95, 5.50
53, 3.78, 8.11, 3.11
54, 2.55, 0.94, 11.51
55, 2.65, 5.36, 6.99
56, 1.36, 11.29, 2.35
57, 0.52, 1.10, 13.38
58, 2.39, 1.90, 10.71
59, 8.79, 3.77, 2.44
