Trail,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,7.34 ,4.61 ,2.79 ,6.31 ,2.93 ,0.80 ,4.72 ,4.65 ,1.27 ,6.06 ,3.64 ,7.14 ,1.34 ,2.29 ,4.11
2,2.45 ,2.09 ,3.94 ,3.23 ,1.70 ,6.62 ,0.44 ,6.25 ,0.86 ,2.32 ,11.40 ,2.16 ,6.14 ,1.42 ,8.98 
3,6.68 ,6.38 ,2.39 ,3.00 ,2.40 ,0.39 ,0.49 ,2.09 ,7.46 ,7.04 ,2.14 ,0.61 ,8.66 ,2.86 ,7.41 
4,5.22 ,6.54 ,5.60 ,0.76 ,2.15 ,7.14 ,4.32 ,1.96 ,6.36 ,4.19 ,4.56 ,3.29 ,0.85 ,3.05,4.01
5,0.40 ,2.46 ,8.27 ,7.19 ,4.34 ,7.15 ,2.16 ,2.25 ,6.58 ,1.06 ,2.64 ,7.34 ,4.12 ,3.61 ,0.43 
6,2.44 ,3.48 ,2.02 ,5.95 ,4.27 ,5.71 ,0.62 ,4.64 ,6.96 ,3.28 ,0.65 ,1.98 ,11.81 ,5.44 ,0.75
7,0.43 ,4.69 ,4.44 ,2.42 ,2.33 ,4.85 ,7.06 ,4.60 ,7.00 ,2.16 ,0.48 ,1.71 ,0.59 ,3.20 ,14.04 
8,4.48 ,6.30 ,7.42 ,1.91 ,2.08 ,5.56 ,6.34 ,6.10 ,2.96 ,4.87 ,0.60 ,2.25 ,1.91 ,6.68 ,0.54 
9,6.92 ,1.45 ,4.74 ,2.18 ,0.78 ,1.49 ,8.94 ,4.53 ,4.69 ,2.72 ,5.98 ,7.27 ,0.59 ,2.70 ,5.02
10,4.78 ,7.35 ,6.52 ,6.42 ,0.37 ,2.42 ,6.50 ,3.69 ,2.40 ,2.36 ,2.61 ,2.19 ,0.86 ,8.73 ,2.80 
11,1.16 ,2.18 ,3.18 ,1.82 ,4.95 ,7.05 ,8.76 ,3.21 ,0.81 ,4.78 ,5.42 ,2.66 ,7.91 ,2.91 ,3.20 
12,4.48 ,4.84 ,3.39 ,1.09 ,2.56 ,5.63 ,3.71 ,2.39 ,3.21 ,9.03 ,3.98 ,3.17 ,3.61 ,8.51 ,0.40 
13,6.18 ,0.84 ,3.60 ,8.05 ,3.22 ,7.12 ,4.03 ,5.80 ,2.43 ,0.37 ,6.63 ,0.98 ,0.35 ,1.57 ,8.83 
14,3.86 ,7.19 ,3.36 ,6.06 ,5.04 ,4.03 ,4.30 ,3.07 ,1.33 ,6.44 ,1.40 ,2.32 ,4.38 ,5.11 ,2.11 
15,7.70 ,5.44 ,2.60 ,3.85 ,2.33 ,6.96 ,6.28 ,1.52 ,5.17 ,5.92 ,3.35 ,3.28 ,3.53 ,0.25 ,1.82 
16,3.58 ,6.02 ,4.45 ,0.82 ,5.59 ,7.75 ,4.26 ,3.10 ,5.62 ,1.32 ,5.22 ,4.75 ,0.91 ,0.92 ,5.69 
17,3.13 ,1.69 ,4.04 ,3.50 ,1.42 ,2.49 ,3.53 ,3.69 ,1.02 ,3.23 ,1.79 ,1.78 ,18.07 ,10.20 ,0.42 
18,6.40 ,6.43 ,6.05 ,6.34 ,5.34 ,2.97 ,1.39 ,3.49 ,3.61 ,3.20 ,2.80 ,1.33 ,0.76 ,5.13 ,4.76 
19,7.29 ,0.40 ,2.76 ,4.20 ,0.44 ,2.32 ,8.42 ,1.94 ,3.52 ,7.92 ,2.51 ,0.80 ,9.78 ,3.00 ,4.70 
20,4.07 ,6.62 ,2.50 ,0.39 ,2.81 ,3.35 ,1.48 ,8.85 ,1.72 ,0.47 ,8.27 ,8.01 ,2.58 ,5.81 ,3.07 
21,4.65 ,4.55 ,5.03 ,0.80 ,4.00 ,7.53 ,1.73 ,2.21 ,4.30 ,8.14 ,5.23 ,1.58 ,0.62 ,3.94 ,5.69 
22,1.44 ,5.15 ,7.74 ,5.29 ,2.66 ,5.32 ,0.41 ,5.32 ,1.35 ,2.30 ,2.05 ,8.81 ,4.47 ,5.69 ,2.00 
23,0.40 ,8.34 ,2.78 ,3.51 ,7.97 ,4.42 ,4.61 ,3.56 ,3.60 ,3.32 ,1.66 ,1.06 ,3.15 ,7.80 ,3.82 
24,5.08 ,0.77 ,5.36 ,3.06 ,0.41 ,4.51 ,5.75 ,7.16 ,2.90 ,7.45 ,5.75 ,1.49 ,3.91 ,4.04 ,2.36 
25,3.27 ,6.56 ,4.91 ,6.91 ,3.06 ,0.35 ,7.74 ,3.56 ,4.31 ,2.37 ,3.39 ,4.23 ,0.67 ,0.57 ,8.10 
26,1.44 ,8.16 ,0.38 ,7.10 ,3.45 ,4.01 ,2.98 ,1.30 ,7.45 ,4.49 ,3.06 ,0.83 ,1.90 ,12.13 ,1.32 
27,5.99 ,6.76 ,1.52 ,3.24 ,6.11 ,3.22 ,6.74 ,5.24 ,0.68 ,0.50 ,0.40 ,3.58 ,7.05 ,7.45 ,1.52 
28,0.62 ,7.19 ,5.56 ,7.06 ,1.53 ,3.55 ,3.83 ,4.58 ,1.94 ,2.35 ,8.20 ,1.15 ,4.21 ,7.15 ,1.08
29,5.82 ,6.66 ,1.39 ,2.15 ,7.45 ,1.13 ,3.12 ,1.29 ,5.75 ,0.89 ,3.37 ,3.89 ,6.64 ,9.75 ,0.70 
30,3.91 ,1.97 ,8.15 ,2.23 ,5.90 ,3.49 ,3.80 ,6.99 ,0.33 ,1.66 ,5.62 ,1.13 ,4.71 ,3.07 ,7.04 
31,3.24 ,7.67 ,6.99 ,2.06 ,0.45 ,6.90 ,6.86 ,2.73 ,5.41 ,3.60 ,4.00 ,4.03 ,0.22 ,4.66 ,1.18 
32,5.81 ,4.76 ,1.46 ,1.15 ,0.60 ,5.13 ,8.83 ,3.21 ,5.44 ,5.12 ,1.32 ,6.96 ,4.46 ,4.26 ,1.49
33,1.01 ,1.99 ,4.37 ,8.55 ,5.61 ,5.99 ,2.43 ,0.81 ,5.90 ,4.52 ,5.56 ,4.49 ,1.04 ,5.87 ,1.86 
34,2.09 ,5.27 ,4.98 ,0.61 ,0.81 ,5.28 ,1.61 ,4.33 ,7.73 ,4.70 ,7.85 ,4.00 ,1.53 ,5.85 ,3.36 
35,5.61 ,7.19 ,2.69 ,0.79 ,4.53 ,7.03 ,4.14 ,1.33 ,4.94 ,4.22 ,4.02 ,0.33 ,3.69 ,2.05 ,7.44 
36,3.88 ,7.29 ,2.06 ,4.87 ,5.77 ,5.91 ,0.93 ,6.75 ,4.02 ,3.32 ,0.71 ,3.56 ,0.67 ,5.38 ,4.88 
37,7.38 ,2.61 ,1.38 ,1.15 ,5.00 ,1.17 ,8.82 ,4.18 ,3.28 ,1.86 ,5.55 ,8.58 ,1.38 ,5.70 ,1.96 
38,3.76 ,4.63 ,2.53 ,6.90 ,4.37 ,0.37 ,0.70 ,9.15 ,4.02 ,3.56 ,7.64 ,2.95 ,4.08 ,0.89 ,4.45 
39,4.61 ,7.89 ,4.36 ,0.65 ,4.81 ,3.11 ,0.38 ,5.58 ,7.08 ,2.73 ,0.76 ,7.66 ,1.03 ,8.16 ,1.19 
40,5.28 ,6.89 ,1.30 ,5.22 ,6.78 ,6.64 ,1.38 ,5.84 ,1.09 ,2.34 ,0.76 ,4.27 ,3.29 ,0.44 ,8.48 
41,1.80 ,0.53 ,1.17 ,5.34 ,6.83 ,0.58 ,7.14 ,0.45 ,6.69 ,5.11 ,7.35 ,8.44 ,5.64 ,2.38 ,0.55 
42,6.74 ,5.56 ,2.40 ,7.40 ,6.31 ,1.79 ,4.05 ,5.87 ,0.28 ,0.83 ,2.28 ,2.25 ,2.68 ,9.53 ,2.03 
