Trial,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8
1,9.53,6.83,5.3,1.2,3.14,10.63,1.75,1.62
2,7.49,0.86,7.23,4.53,5.66,7.33,2.5,4.4
3,3.78,5.35,6.58,2.41,1.77,2.15,7.65,10.31
4,10.33,0.72,6.02,6.48,6.7,0.58,8.11,1.06
5,6.25,2.4,8.9,2.14,1.74,1.9,3.45,13.22
6,11.54,2.68,3.48,5.92,2.08,8.51,3.77,2.02
7,6.56,11.59,3.75,3.65,5.71,0.89,7.44,0.41
8,7.84,2.73,6.43,3.04,7.65,6.25,1.98,4.08
9,0.99,6.49,6.96,5.53,3.51,0.98,14.67,0.87
10,10.03,5.05,2.84,7.93,6.06,1.22,1.23,5.64
11,10.8,5.68,2.73,6.58,6.71,0.4,2.44,4.66
12,3.25,3.33,4.54,5.14,8.7,10.13,3.27,1.64
13,0.95,10.88,6.12,3.19,7.65,1.37,6.34,3.5
14,3.07,4.79,7.35,7.14,4.93,5.77,4.32,2.63
15,6.18,0.67,4.8,4.02,0.9,3.79,2.21,17.43
16,5.64,7.61,4.08,4.83,5.86,2.52,6.4,3.06
17,3.54,1.58,9.64,1.82,4.92,7.91,3.32,7.27
18,5.79,6.44,5.59,3.75,4.24,7.31,2.83,4.05
19,7.81,4.94,2.34,6.74,7.53,6.51,2.67,1.46
20,6.42,2.52,4.17,10.45,1.54,8.69,3.13,3.08
21,6.51,2.89,6.73,6.94,5.78,4.82,3.34,2.99
22,1.53,6.86,6.65,6.14,5.88,4.67,2.06,6.21
23,2.43,7.13,2.56,7.28,2.54,8.87,1.06,8.13
24,6.16,8.29,6.02,1.97,9.66,5.3,2.17,0.43
25,6.03,5.69,3.4,3.27,4.49,7.04,2.64,7.44
26,1.49,10.12,7.02,9.27,2.03,1.16,1.6,7.31
27,2.44,1.15,3.73,3.12,11.01,6.67,3.63,8.25
28,11.92,9.18,6.15,3.17,2.04,1.45,2.89,3.2
29,2.16,6.18,8.71,6.16,2.86,1.84,10.8,1.29
30,2.16,10.62,7.43,1.01,3.55,1.7,7.49,6.04
31,8.39,3.33,8.37,7.18,5.37,0.69,3.37,3.3
32,9.73,7.73,1.8,6.61,2.04,7.06,1.18,3.85
33,10.38,6.88,6.83,4.48,0.62,2.89,0.41,7.51
34,4.81,0.88,4.8,10.74,3.42,3.67,2.92,8.76
35,1.24,1.72,8.94,4.74,10.05,3.16,4.12,6.03
36,5.85,6.18,5.41,8.05,8.77,0.86,3.82,1.06
37,11.28,0.31,4.05,2.08,3.5,4.09,3.75,10.94
38,2.0,3.46,3.64,4.61,7.67,11.0,4.0,3.62
39,5.03,2.18,3.96,6.15,5.42,7.03,4.69,5.54
40,3.18,2.75,10.01,4.56,3.91,7.97,0.95,6.67
41,9.01,5.45,1.69,6.98,2.67,10.85,0.96,2.39
42,1.11,7.65,4.78,8.82,4.19,4.48,1.67,7.3
43,7.81,0.56,2.17,7.44,4.64,8.06,4.83,4.49
44,1.74,7.66,4.3,5.69,7.5,3.39,1.86,7.86
45,4.47,7.95,4.44,5.36,7.3,3.49,5.76,1.23
46,6.56,6.39,0.69,4.86,7.23,9.18,2.06,3.03
47,3.31,5.59,2.79,7.26,9.03,1.68,3.76,6.58
48,2.21,3.57,6.72,2.77,9.41,3.76,6.61,4.95
49,9.41,1.83,7.88,5.68,1.9,7.36,3.59,2.35
50,1.64,1.39,10.02,6.23,8.94,7.72,1.26,2.8
51,6.07,7.0,3.62,6.79,4.11,4.92,4.74,2.75
52,9.36,5.75,3.7,2.2,4.66,2.64,2.94,8.75
53,3.18,6.34,8.82,3.52,3.38,3.55,9.04,2.17
54,5.9,8.21,4.71,1.84,1.02,8.1,6.36,3.86
55,9.62,5.21,8.07,9.2,1.58,1.28,4.14,0.9
56,6.55,6.76,2.59,6.85,4.39,3.97,3.76,5.13
57,2.99,5.23,1.88,13.25,1.68,8.82,3.43,2.72
58,6.8,1.29,7.83,9.19,1.66,0.81,12.08,0.34
59,6.14,4.85,3.62,0.41,9.77,3.56,9.41,2.24
60,2.91,4.14,6.57,7.06,4.54,8.33,4.11,2.34
61,9.96,4.88,0.35,2.84,1.04,9.98,1.18,9.77
62,7.38,2.69,2.58,9.41,7.39,4.52,2.78,3.25
63,12.78,3.09,6.47,1.19,3.36,3.87,3.9,5.34
64,1.1,9.27,8.38,3.26,7.28,1.54,4.51,4.66
65,3.27,10.22,3.26,4.58,6.68,1.72,1.43,8.84
66,7.77,9.63,7.79,5.9,1.6,2.65,1.41,3.25
67,9.88,6.43,2.39,6.92,7.33,4.29,2.59,0.17
68,0.91,6.41,8.96,8.33,7.62,0.53,2.03,5.21
69,12.89,5.83,0.77,2.41,5.65,4.19,3.84,4.42
70,8.82,6.34,3.07,4.04,6.2,2.53,7.5,1.5
71,10.7,4.46,3.7,3.47,5.94,5.87,2.94,2.92
72,6.46,8.15,2.3,5.66,7.19,4.74,0.15,5.35
73,2.11,1.37,3.64,6.5,7.18,8.76,7.11,3.33
74,2.82,5.74,0.65,3.2,9.25,3.81,13.49,1.04
75,5.13,6.86,2.6,7.08,4.62,8.49,4.3,0.92
76,4.71,5.86,8.01,2.44,8.11,5.13,3.48,2.26
77,4.65,6.74,9.06,4.08,2.57,5.25,0.7,6.95
78,2.46,9.03,3.6,6.6,8.75,5.63,2.36,1.57
79,2.61,7.67,3.74,4.7,3.03,1.01,12.95,4.29
80,3.64,2.3,8.99,9.28,5.59,2.74,0.42,7.04
81,2.92,5.1,9.94,7.0,7.16,2.61,4.45,0.82
82,6.66,2.9,3.91,3.64,0.88,10.9,1.92,9.19
83,1.55,2.46,9.38,12.54,4.56,3.02,0.79,5.7
84,14.41,3.94,3.64,1.7,5.6,5.91,2.41,2.39
85,5.65,2.32,4.95,5.59,0.64,4.52,4.9,11.43
86,6.03,7.14,7.18,3.98,0.6,4.13,10.4,0.54
87,2.33,4.06,5.24,3.83,7.51,6.13,1.07,9.83
88,7.59,7.18,2.59,1.73,3.47,2.06,4.64,10.74
89,1.17,3.88,6.11,3.81,3.23,8.1,8.36,5.34
90,8.04,4.33,2.09,6.88,8.31,1.2,4.43,4.72
91,1.35,7.03,3.69,4.07,3.22,4.41,16.23,0.0
92,4.76,4.22,5.99,7.02,2.57,1.99,3.08,10.37
93,7.72,1.05,6.41,7.91,1.26,10.16,3.59,1.9
94,8.27,3.77,5.9,2.14,0.29,10.65,1.05,7.93
95,10.23,2.03,7.94,1.28,4.37,0.24,11.07,2.84
96,5.13,2.41,5.96,7.82,2.63,1.04,8.65,6.36
97,2.44,1.04,5.05,8.67,4.25,0.51,16.99,1.05
98,3.04,4.17,6.52,6.19,4.17,5.57,8.01,2.33
99,4.19,3.04,6.54,10.04,3.49,1.6,1.48,9.62
100,4.54,0.87,2.01,4.45,8.68,9.4,4.1,5.95
101,4.22,7.43,6.3,4.02,0.62,7.8,1.82,7.79
102,10.12,1.49,8.8,7.09,4.32,1.37,4.49,2.32
103,9.13,4.2,1.62,4.27,3.68,8.28,1.41,7.41
104,0.94,3.89,6.03,10.25,3.74,9.14,1.77,4.24
105,9.21,2.03,4.1,5.24,4.48,3.56,4.45,6.93
106,5.29,0.79,5.63,4.89,1.82,13.05,0.77,7.76
107,9.61,0.62,10.3,6.39,2.65,5.54,1.43,3.46
108,6.31,0.35,6.6,7.91,2.04,6.05,10.39,0.35
109,5.47,5.87,7.68,6.5,1.25,4.74,8.34,0.15
110,2.23,4.47,7.33,1.85,4.14,12.44,3.59,3.95
111,3.1,2.96,4.88,10.12,0.42,10.89,1.22,6.41
112,3.68,10.44,6.49,7.99,2.07,3.32,1.38,4.63
113,5.35,0.66,1.2,6.28,2.36,8.93,3.81,11.41
114,6.03,7.57,0.54,5.72,9.98,5.39,3.08,1.69
115,6.4,8.19,2.73,2.0,12.19,2.7,1.83,3.96
116,8.65,1.68,1.14,5.39,3.86,8.93,0.92,9.43
