Trial,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8
1,6.54,0.65,9.94,1.38,9.37,2.28,1.18,8.66
2,8.93,4.55,7.87,2.99,3.09,3.95,2.93,5.69
3,0.5,5.05,4.97,10.3,4.44,2.43,0.61,11.7
4,3.3,4.63,9.27,8.26,0.59,3.21,4.92,5.82
5,1.36,1.73,12.28,3.98,1.16,12.39,4.39,2.71
6,9.41,4.09,8.34,3.92,3.4,4.86,1.73,4.25
7,3.8,9.57,6.79,7.86,4.29,1.58,5.22,0.89
8,6.64,7.94,7.02,0.36,4.28,6.36,1.25,6.15
9,4.77,6.83,4.12,4.62,7.78,0.87,3.63,7.38
10,5.35,3.17,0.52,3.39,11.48,5.64,7.4,3.05
11,8.06,2.59,4.25,3.89,3.71,10.66,6.49,0.35
12,8.33,7.81,0.75,3.75,6.25,4.05,2.11,6.95
13,8.4,8.01,3.07,3.73,3.31,5.48,0.79,7.21
14,7.12,1.67,7.14,8.51,3.91,6.79,3.76,1.1
15,8.22,2.82,8.8,6.52,0.4,1.7,10.4,1.14
16,5.52,2.69,1.72,5.71,8.16,3.68,4.51,8.01
17,8.97,0.49,1.58,1.24,3.35,11.11,8.23,5.03
18,6.35,2.61,0.51,9.65,1.49,3.18,12.11,4.1
19,2.13,8.31,5.13,2.28,7,7.46,6.41,1.28
20,6.25,6.83,8.39,5.8,5.5,3.5,1.67,2.06
21,4.77,2.85,1.13,0.62,7.41,0.77,6.89,15.56
22,8.79,3.47,7.28,5.19,7.43,1.88,5.38,0.58
23,6.2,7.06,0.44,3.35,8.72,2.25,1.77,10.21
24,0.93,5.39,9.49,4.45,9.77,3.05,5.84,1.08
25,7.53,3.49,1.79,4.24,11.22,7.7,0.47,3.56
26,6.97,0.47,8.7,9.29,4.94,0.32,6.17,3.14
27,1.54,6.48,6.6,1.34,6.67,4.53,0.64,12.2
28,8.18,5.29,7.41,2.81,7.57,1.26,3.39,4.09
29,4.48,7.66,4.21,7.64,2.98,1.2,2.97,8.86
30,6.17,3.11,7.89,1.06,9.27,0.41,8.54,3.55
31,9.4,7.25,4.83,4.72,6.51,1.91,4.37,1.01
32,8.95,0.97,2.18,1.5,6.9,10.86,5.2,3.44
33,2.79,1.3,2.2,10.78,1.12,0.72,2.27,18.82
34,2.74,4.22,9.66,1.75,0.54,3.59,10.72,6.78
35,2.39,4.02,9.36,7.24,2.68,3.87,8.86,1.58
36,1.51,6.01,6.7,5.29,0.51,4.07,6.61,9.3
37,7.14,5.76,5,6.75,0.87,5.1,4.31,5.07
38,2.66,3.08,1.17,8.93,0.6,0.78,13.58,9.2
39,5.05,0.65,4.61,5.17,9.68,3.06,10.3,1.48
40,0.91,8.65,9.92,5.83,3.87,1.71,2.1,7.01
41,1.06,2.48,2.36,5.63,1.44,14.93,6.18,5.92
42,0.9,3.34,4.27,0.62,13.1,0.59,11.16,6.02
43,0.75,5.45,9.7,8.1,6.12,6.3,0.63,2.95
44,3.68,1.24,4.03,11.66,0.61,10.2,4.66,3.92
45,2.03,0.82,2.3,11.2,7.72,0.53,13.58,1.82
46,9.78,1.03,2.91,1.01,8.76,2.82,12.58,1.11
47,1.01,7.21,9.49,0.44,0.84,1.84,11.83,7.34
48,5.37,0.6,6.41,7.42,4.18,6.94,7.54,1.54
49,3.98,5.83,9.18,5,6.02,3.26,4.39,2.34
50,1.92,0.79,3.96,2.48,11.81,2.68,2.73,13.63
51,7.79,1.78,7.77,3.58,1.25,3.87,11.7,2.26
52,3.17,0.95,9.99,5.98,3.33,1.5,6.17,8.91
53,5.14,7.04,8.03,4.59,2.73,1.62,4.53,6.32
54,2.9,3.16,0.56,12.47,0.92,5.71,13.37,0.91
55,1.32,10.38,1,2.78,3.48,10.97,4.55,5.52
56,9.98,8.48,3.46,1.9,0.4,7.43,0.92,7.43
