Trial,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8
1,0.62,11.08,3.59,7.69,5.94,2.32,4.95,3.81
2,2.43,3.27,11.22,3.09,9.32,1.11,1.76,7.8
3,2.44,3.11,1.95,8.45,8.52,5.32,2.81,7.4
4,3.6,5.46,8.03,4.09,2.39,8.98,0.82,6.63
5,9.35,3.17,0.5,6.99,1.92,4.17,7.39,6.51
6,5.12,7.94,7.74,6.25,2.47,6.49,0.83,3.16
7,1.95,1.86,2.87,7.65,3.43,6.48,2.48,13.28
8,5.04,7.12,6.63,3.78,3.36,8.8,2.96,2.31
9,6.71,4.03,3.12,5.78,3.7,2.46,1.51,12.69
10,3.24,2.64,7.79,3.67,2.21,5.27,11.13,4.05
11,5.9,7.52,1.45,2.15,9.45,3.41,1.17,8.95
12,3.42,4.75,8.76,4.22,0.64,4.33,4.49,9.39
13,1.2,6.28,6.9,2.02,8.25,6.74,6.07,2.54
14,3.66,2.08,1.11,5.42,6.34,4.61,15.74,1.04
15,9.72,7.04,2.5,3.23,4.9,5.35,2.52,4.74
16,2.77,3.71,4.85,10.34,6.76,3.77,7.34,0.46
17,5.35,6.17,2.28,4.29,6.5,5.17,2.32,7.92
18,0.87,2.91,6.59,6.79,3.69,4.19,5.22,9.74
19,5.77,7.38,8.4,3.46,6.71,1.22,1.24,5.82
20,2.69,5.62,4.53,1.93,0.69,2.54,20.26,1.74
21,4.42,6.99,3.48,1.54,11.73,1.74,7.33,2.77
22,0.73,9.54,2.12,1.22,6.55,12.6,0.52,6.72
23,4.93,7.58,2.98,9.4,7.09,0.53,2.26,5.23
24,7.67,4.98,4.92,1.25,3.31,11.52,5.16,1.19
25,3.61,2.52,0.84,11.89,6.44,2.4,11.84,0.46
26,6.42,0.71,4.99,3.28,1.75,2.56,16.63,3.66
27,6.41,6.84,6.6,5.12,0.77,5.92,1.53,6.81
28,8.29,1.11,7.6,2.53,8.12,6.65,0.61,5.09
29,3.45,5.2,6.94,7.25,8.45,3.67,0.46,4.58
30,8.54,7.35,7.46,0.87,2.9,5.38,5.58,1.92
31,4.42,1.87,4.95,8.77,5.5,3.8,0.63,10.06
32,9.16,1.72,3.65,8.57,5.5,6.38,2.42,2.6
33,3.25,1.34,5.2,9.87,3.03,0.76,12.95,3.6
34,0.94,9.37,7.39,1.21,10.07,3.25,4.57,3.2
35,6.49,6.97,3.25,0.68,10.24,7.28,2.04,3.05
36,4.13,7.3,6.89,2.74,5.6,0.61,10.98,1.75
37,7.14,6.31,1.72,4.68,1.06,2.54,10.18,6.37
38,4.74,3.64,5.64,9.3,4.7,3.3,2.33,6.35
39,0.72,1.28,11.42,9.29,0.7,6.58,9.75,0.26
40,3.88,9.74,4.28,3.19,8.26,6.92,0.22,3.51
41,4.44,5.36,4.62,3.51,6.62,7.68,3.69,4.08
42,3.17,5.25,9.35,3.66,1.57,9.81,5.52,1.67
43,2.61,2.15,3.77,7.75,9.89,0.52,12.4,0.91
44,2.35,9.15,3.15,7.25,0.73,9.25,4.77,3.35
45,2.71,1.56,9.92,6.51,3.93,4.27,8.63,2.47
46,1.69,5.35,5.02,5.37,7.29,6.16,5.01,4.11
47,4.2,1.98,8.64,3.16,2.75,7.55,5.3,6.42
48,2.24,8.15,8.35,3.77,3.94,4.16,1.26,8.13
49,3.19,6.01,3.05,6.64,7.06,1.73,9.92,2.4
50,8.91,2.04,8.58,7.76,1.54,1.69,5.7,3.78
51,5.14,2.04,2.86,8.2,1.63,3.03,12.03,5.07
52,9.74,4.24,6.75,2.34,4.09,7.19,3.43,2.22
53,2.86,1.11,10.72,3.94,1.49,1.4,17.11,1.37
54,7.72,5.55,3.94,8.78,3.25,6.4,3.17,1.19
55,0.89,4.92,7.94,8.19,6.1,5.81,4.73,1.42
56,8.33,5.97,8.53,1.31,6.4,2.7,2.58,4.18
57,6.41,5.72,9.07,4.68,2.13,4.86,3.46,3.67
58,5.73,0.88,7.78,2.82,10.56,1.02,0.92,10.29
59,2.1,5.17,3.54,11.58,3.76,5.02,5.37,3.46
60,6.16,7.86,1.09,2.0,1.48,4.78,8.95,7.68
61,5.12,6.21,2.88,7.1,4.45,7.45,6.05,0.74
62,8.82,4.11,4.43,8.58,6.43,0.95,2.82,3.86
