Trial,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8,Person9,Person10,Person11,Person12,Person13,Person14,Person15
1,6.55,6.38,0.61,3.3,6.57,0.73,2.05,7.63,1.35,5.41,3.75,6.94,2.49,3.12,3.12
2,3.43,1.43,6.51,1.58,7.78,7.01,2.38,3.67,4.93,5.32,6.02,2.58,1.42,5.66,0.28
3,1.86,6.27,2.46,6.88,5.43,0.58,0.9,6.31,3.67,6.05,3.5,3.82,5.52,2.61,4.14
4,5.43,6.56,2.29,6.46,3.8,4.63,5.71,0.83,0.73,1.06,5.81,6.43,5.13,4.16,0.97
5,5.47,1.98,0.6,8.19,1.26,3.68,3.59,2.46,6.51,4.37,2.64,1.33,10.16,2.24,5.52
6,2.93,2.38,3.54,0.11,4.59,3.19,7.76,5.47,0.06,9.98,5.03,3.52,2.59,6.03,2.82
7,3.64,5.93,4.21,4.57,0.03,4.58,7.53,2.05,3.35,5.77,1.39,2.56,0.52,6.88,6.99
8,0.29,3.5,0.02,6.68,2.38,7.95,8.07,2.67,5.27,1.16,4.74,4.34,1.79,5.49,5.65
9,6.44,7.01,1.93,3.08,6.18,4.45,5.21,0.26,3.06,0.12,6.81,1.08,0.55,1.34,12.48
10,4.74,6.85,4.65,3.71,0.5,1.67,0.78,9.27,6.62,4.81,5.74,2.06,1.65,3.42,3.53
11,2.51,3.18,6.18,3.84,2.68,0.84,2.1,0.06,0.04,3.01,2.08,15.25,11.45,0.51,6.27
12,7.69,2.79,1.74,4.84,0.65,1.82,4.74,3.09,3.07,5.84,8.67,2.17,1.93,3.84,7.12
13,6.36,5.66,5.97,3.69,6.56,4.6,3.47,2.88,3.45,4.25,2.27,1.3,4.58,1.26,3.7
14,6.02,5.69,3.19,5.62,3.7,3.84,0.27,6.63,2.28,5,0.48,7.64,1.12,7.83,0.69
15,2.25,7.33,1.05,6.65,7.49,3.41,0.26,2.92,5.04,5.45,5.41,4.49,2.52,4.99,0.74
16,4.56,4.4,5.47,0.42,6.32,7.69,5.22,2.2,5.07,0.09,1.13,7.16,6.05,3.98,0.24
17,4.68,0.28,5.71,6.27,7.13,4.43,2.27,7.27,1.16,5.34,0.96,0.46,4.49,5.89,3.66
18,3.67,1.26,4.75,2.14,0.19,0.93,6.93,2.97,2.29,4.16,6.58,3.26,8.14,6.61,6.12
19,7.52,5.63,1.68,2.85,4.13,5.89,0.17,3.92,0.63,9.15,3.88,4.34,4.81,0.06,5.34
20,5.7,6.73,6.91,4.03,4.85,0.56,3.56,1.57,1.06,2.72,1.41,0.48,0.99,3.32,16.11
21,2.12,6.95,0.69,1.37,3.31,8.18,6.88,2.04,2.94,1.97,6.45,4.38,5.04,0.54,7.14
22,3.87,0.72,1.01,6.68,7.34,7.54,1.96,4.55,2.38,2.83,6.02,4.97,5.71,3.61,0.81
23,3.11,1.47,1.36,2.52,8.39,7.72,7.62,5.75,1.89,6.33,2.22,2.97,0.99,2.08,5.58
24,5.22,7.06,1.49,3.87,2.81,1.47,1.9,8.96,7.12,4.3,3.14,2.52,5.85,1.29,3
25,1.35,7.55,5.64,4.22,6.47,2.09,6.33,4.26,1.46,1.16,2.11,8.49,1.78,5.15,1.94
26,3.37,6.94,5.11,6.23,5.4,2.7,0.54,0.16,7.93,1.6,1.43,1.88,5.14,10.49,1.08
27,0.77,4.2,7.13,3.45,7.57,2.47,6.35,5.13,3.69,5.92,0.34,4.21,2.32,0.25,6.2
28,5.14,1.47,8.1,1.36,6.61,3.78,1.17,4.93,2.16,3.03,2.23,3.88,4.26,10.14,1.74
29,0.86,5.89,4.4,7.27,3.63,2.08,2.7,7.39,6.55,0.8,6.57,2.1,5.53,0.54,3.69
30,6.84,1.49,2.36,0.39,4.51,4.6,8.48,2.48,1.5,8.68,1.29,2.09,10.15,0.72,4.42
31,1.15,6.54,1.72,4.38,7.72,2.62,5.48,3.83,6.21,2.38,2.24,0.82,7.86,0.53,6.52
32,0.03,5.65,4.34,6.87,7.4,7.07,0.87,0.65,7.07,2.9,5.47,4.11,2.53,4.1,0.94
33,7.33,7.5,4.64,2.12,1.34,3.22,2.81,3.14,3.91,5.48,2.04,4.02,6.5,0.25,5.7
34,3.07,7.38,3.72,1.12,4.15,2.94,7.53,1.82,2.8,2.4,6.22,1.13,0.93,8.95,5.84
35,7.22,4.16,3.25,6.6,3.44,0.58,4.3,4.85,0.56,7.96,4.84,4.26,1.81,6.05,0.12
36,5.86,7.53,3.23,6.64,3.29,5.99,4.83,1.14,6.07,4.03,2.58,0.85,0.52,6.92,0.52
37,5.4,5.72,4.53,5.85,1,2.18,1.96,0.86,7.33,6.15,5.46,3.19,2.63,2.87,4.87
38,3.47,5.79,5.24,4.7,0.71,1.05,0.92,6.53,8.72,4.49,1.36,8.38,0.9,7.06,0.68
39,7.82,4.46,7.14,6.26,3.32,1.04,4.41,3.34,5.32,2.98,2.12,4.82,2.88,0.05,4.04
40,7.51,0.67,7.21,3.39,7.45,0.23,5.43,2.58,4.39,4.47,1.28,6.97,2.47,2.41,3.54
41,2.75,0.56,8.49,0.67,0.41,4.5,5.06,4.87,5.48,4.38,1.8,0.07,11.73,7.87,1.36
42,4.98,2.54,7.18,6.68,6.2,6.43,3.32,2.3,3.83,4.82,3.98,2.39,1.65,1.35,2.35
43,2.6,4.59,3.1,5.17,4.34,0.43,7.04,2.69,3.88,6.04,2.58,1.91,9.83,1.02,4.78
44,0.17,4.11,1.85,6.52,7.81,6.61,3.5,4.96,5.11,6.14,3.6,1.79,4.87,1.01,1.95
45,3.52,1.58,1.12,6.67,7.15,5.5,1.32,2.91,5.1,1.22,1.56,5.82,1.26,1.44,13.83
46,6.47,7.27,2.94,3.7,1.23,2.11,6.25,1.7,5.49,1.88,7.42,5.36,3.78,2.39,2.01
47,3.55,7,5.02,5.37,2.6,4,6.88,1.61,0.14,6.45,3.19,4.3,5.13,2.4,2.36
48,4.05,6.47,6.65,5.05,4.48,2.91,0.04,1.01,3.67,7.16,5.14,1.54,4.94,0.25,6.64
49,7.96,6.13,2.21,0.94,0.38,4.43,6.5,4.01,6.96,5.46,1.86,5.95,0.3,4.65,2.26
50,5.38,0.69,1.16,2.11,6.12,1.6,6.48,2.95,6.07,6.25,0.82,2.82,7.39,4.25,5.91
51,1.03,7.38,4.24,1.95,5.83,3.18,1.74,2.48,0.63,7.14,7.47,0.66,0.28,15.23,0.76
52,1.01,1.87,8.46,8.05,1.42,4.61,4.37,4.79,4.44,6.36,0.88,0.95,7.59,4.73,0.47
53,7.92,3.03,2.26,7.33,3.52,3.52,2.12,1.24,0.5,1.31,9.83,3.04,1.39,7.62,5.37
54,6.78,2.14,2.52,3.14,4.41,0.11,8.9,1.77,5.37,3.24,7.9,1.02,0.74,2.59,9.37
55,5.37,0.06,5.02,1.08,4.56,1.2,6.14,0.72,3.05,8.81,9.05,5.75,4.32,4,0.87
56,2.61,6.4,4.94,6.94,6.89,0.78,4.73,2.14,0.36,6.41,4.95,4.88,1.21,1.68,5.08
57,1.7,4.22,5.58,6.07,6.91,0.86,2.74,4.45,6.56,0.95,0.85,3.77,7.96,2.14,5.24
58,5.69,5.31,7.2,5.51,1.05,5.39,6.49,2.45,1.74,1.13,0.89,1.65,6.08,7.4,2.02
59,2.48,3.43,6.91,0.87,5.09,5.98,7.03,2.88,2.54,4.41,0.17,4.87,0.34,2.11,10.89
60,0.64,7.34,7.26,2.62,0.28,0.83,8.2,5.49,6.98,5.7,1.75,3.82,2.36,6.32,0.41
61,3.87,5.53,6.22,0.39,5.83,1.09,2.89,6.73,4.02,2.02,8.43,2.24,4.91,4.36,1.47
62,1.23,0.35,3.74,2.62,3.05,3.57,9.02,6.45,3.94,8.08,2.76,5.01,2.33,1.99,5.86
63,1.94,4.82,6.45,2.75,3.56,2.5,6.19,6.13,4.75,6.75,4.1,3.12,4.23,0.93,1.78
64,1.36,3.78,7.69,1.64,0.11,1.27,1.68,6.95,6.24,4.37,3.02,6.35,4.41,6.63,4.5
65,3.36,3.25,3.77,3.71,2.65,6.48,4.16,7.17,7.06,1.75,3.63,1.53,2.24,4.38,4.86
66,0.75,1.63,4.36,6.58,3.97,2.3,3.42,8.7,1.92,4.29,1.66,4.63,9.34,4.33,2.12
67,6.4,6.45,4.49,3.21,1.76,2.18,0.37,5.21,4.62,3.06,6.97,0.98,7.58,6.18,0.54
68,5.83,4.77,0.33,4.08,3.8,0.99,1.72,5.22,5.51,8.76,4.03,3.91,3.9,0.04,7.11
69,2.45,4.51,6.12,4.32,2.67,5.04,2.29,6.11,1.06,7.41,2.18,5.38,2.46,4,4
70,2.58,4.36,6.57,4.32,4.87,1.21,6.52,0.33,6.43,5.79,0.32,3.78,4.74,4.24,3.94
71,7.12,4.62,6.17,4.12,0.75,6.82,2.48,6.41,1.49,1.02,1.04,3.45,1.85,5.58,7.08
72,0.43,7.96,6.29,1.78,4.86,7.37,0.32,5.4,3.24,4.8,0.53,6.42,5.26,2.47,2.87
73,2.09,7.7,1.45,4.69,7.98,4.58,3.68,3.1,6.95,2.88,0.77,6.8,2.52,4.39,0.42
74,3.37,3.88,2.6,4.02,7.73,3.17,6.72,6.03,6.21,2.01,5.04,2.36,0.77,2.49,3.6
75,4.21,5.95,6.27,2.63,1.37,2.72,5.33,0.96,3.44,8.41,0.85,3.38,6.17,6.95,1.36
76,2.68,0.44,7.82,2.97,1.55,2.07,7.42,4.73,5.04,2.71,5.16,3.5,0.54,7.92,5.45
77,0.41,8.39,1.88,7.96,0.96,8.01,1.88,2.21,0.76,1.28,6.62,2.02,0.15,9.09,8.38
78,3.4,7.87,7.29,3.58,6.28,0.68,1.64,1.11,5.25,2.41,2.56,4.66,1.45,7.03,4.79
79,5.18,7.62,1.71,6.04,1.93,2.56,1.07,5.43,0.56,5.41,3.55,4.79,0.81,12.14,1.2
80,4.76,2.15,1.4,7.98,5.9,3.6,7.17,5.19,4.44,2.15,5.86,4.52,0.6,3.35,0.93
81,3.72,4.21,4.18,6.87,2.84,6.02,5.19,3.64,5.93,4.26,1.76,3.65,4.84,1.19,1.7
82,1.44,6.22,5.07,3.73,5.36,5.03,5.84,5.45,4.22,3.92,2.94,4.85,0.05,3.09,2.79
83,6.44,2.44,0.35,3.95,0.36,4.95,7.85,0.88,4.83,1.41,8.97,2.49,8.67,3.8,2.61
84,4.93,3.37,6.8,3.61,6.8,0.65,0.63,3.93,6,6.23,5.59,1.08,1.99,1.96,6.43
85,1.38,1.07,0.06,1.32,3.33,8.92,5.74,7.16,0.93,3.68,2.24,3.97,12.37,6.95,0.88
86,7.04,1.6,7.84,6.72,5.05,5.45,2.5,1.75,4.33,4.31,3.24,3.13,2.15,3.65,1.24
87,6.81,4.48,7.17,6.67,4.24,3.62,1.86,2.94,2.24,4.46,5.86,3.72,1.09,2.58,2.26
88,3.2,1.08,6.8,0.24,1.95,1.34,3.61,0.81,7.05,5.51,6.55,2.38,12.12,1.81,5.55
89,3.45,4.73,0.21,0.02,1.39,0.43,9.46,7.59,0.55,5.5,6.26,1.61,3.53,0.49,14.78
90,4.11,3.18,2.86,4.29,0.17,1.08,4.42,1.3,5.05,2.13,7.02,1.76,12.57,1.59,8.47
91,1.73,6.14,2.59,3.34,2.62,0.92,0.94,8.89,8.76,2.62,5.01,1,3.29,8.69,3.46
92,2.9,1.04,0.64,0.49,5.06,7.49,2.93,1.97,1.26,0.07,11.57,1.8,10.84,11.2,0.74
93,4.45,6.72,2.33,3.52,4.78,2.3,6.96,4.33,3.81,0.13,2.07,6.72,3.67,5.42,2.79
94,0.17,2.11,4.28,0.37,8.08,7.91,5.31,6.43,6.68,1.46,4.33,2.97,4.75,3.76,1.39
95,5.18,6.98,0.12,6.95,2.21,5.79,0.94,4.55,3.1,2.34,6.27,3.76,5.35,4.28,2.18
96,3.26,4.38,6.07,5.61,2.08,7.51,1.28,7.14,5.28,0.03,5.25,1.8,4.14,2.53,3.64
97,0.31,5.24,2.5,4.52,2.53,1.81,5.15,6.12,8.41,4.61,6.99,1.58,2.86,4.13,3.24
98,0.18,7.51,7.88,2.81,5.06,5.56,1.59,2.59,6.28,1.25,1.4,1.33,2.09,11.43,3.04
99,7.85,2.59,4.01,4.35,7.28,0.05,0.47,1.59,4.69,2.86,3.37,2.54,6.06,0.48,11.81
100,0.04,4.94,3.73,7.23,1.49,7.44,6.92,4.04,0.45,4.37,5.67,6.37,3.98,2.57,0.76
101,1.35,4.23,7.07,7.46,1.93,6.21,3.45,1.54,1.64,7.64,4.05,1.3,2.51,2.21,7.41
102,4.68,1.77,7.81,5.05,3.18,2.82,6.36,3.09,0.83,0.34,1.39,8.98,5.08,7.32,1.3
103,2.94,2.91,7.97,5.42,0.17,3.43,3.33,4.8,1.77,8.13,2.59,4.17,1.18,5.79,5.4
104,0.48,3.72,6.01,4.89,6.14,1.66,1.61,1.7,0.3,0.67,0.4,7.06,7.73,10.69,6.94
105,1.99,6.45,1.19,0.39,8.41,5.69,1.92,7.47,7.53,2.55,1.03,0.42,4.88,2.23,7.85
106,0.15,7.72,0.67,1.69,5.27,6.05,4.16,1.2,8.83,4.48,4.17,2.99,0.26,0.63,11.73
107,7.68,7.34,5.81,5.01,5.91,4,4.5,0.51,5.11,3.98,1.89,1.08,3.98,2.12,1.08
108,0.15,0.72,0.42,5.34,2.53,7.08,5.75,0.4,7.5,3.15,8.32,3.92,3.48,7.95,3.29
109,6.91,7.33,6.02,6.2,0.22,0.57,7.09,3.17,5.29,5.42,4.28,2.33,3.35,0.23,1.59
110,0.04,6.05,8.09,7.02,5.25,1.92,4.79,0.12,6.54,5.82,3.69,3.95,3.46,2.56,0.7
111,4.36,1.42,7.61,4.51,1.62,0.65,1.7,6.41,5.46,7.3,4.34,5.59,4.61,3.49,0.93
112,7.63,4.14,3.15,0.7,4.87,2.78,2.19,0.94,2.82,6.41,5.05,4.92,5.01,1.49,7.9
113,5.92,6.74,5.96,1.54,5.15,6.74,2.17,3.23,5.55,2.11,3.4,3.74,0.86,5.1,1.79
114,5.83,3.78,0.49,6.96,4.56,3.75,5.44,1,3.01,5.2,4.99,4.51,2.98,6.53,0.97
115,5.79,7.7,6.99,2.55,1.71,0.5,4.11,6.33,2.36,1.44,4.56,0.03,3.59,6.17,6.17
116,6.59,5.93,0.51,1.79,1.6,5.39,7.26,1.35,0.81,8.18,2.04,0.7,3.27,6.56,8.02
117,2.45,4.34,7.33,4.8,2.19,4.22,7.38,3.21,4.11,2.64,0.93,1.86,8.96,1.27,4.31
118,3.55,5.47,4.16,3.76,3.78,6.16,0.15,4.98,0.27,7.74,2.28,0.28,3.9,12.89,0.63
119,0.03,5.32,6.21,6.64,6.29,3.66,3.24,2.78,7.06,0.48,1.19,0.33,9.15,6.71,0.91
120,3.63,1.12,7.33,2.31,5.53,6.71,0.02,0.23,4.86,0.06,8.52,2.14,0.61,11.84,5.09
121,4.76,3.35,5.87,6.63,0.34,3.67,0.73,6.69,6.66,1.47,1.69,2.11,8.53,0.27,7.23
122,0.96,4.45,3.42,5.7,5.69,0.44,5.24,2.66,1.72,8.15,3.94,5.15,6.63,4.9,0.95
123,3.92,7,2.7,6.87,6.01,1.51,1.45,7.38,5.94,3.03,4.32,1.03,0.53,5.49,2.82
124,4.79,2.37,3.38,7.31,1.8,5.83,0.07,6.23,2.75,3.37,3.6,5.54,4.97,5.39,2.6
125,0.79,5.62,5.88,5.26,3.68,6.89,0.04,6.78,5.76,2.58,3.22,2.69,1.96,3.73,5.12
126,3.57,3.83,2.77,0.35,5.16,4.09,7.42,7.06,3.89,1.8,0.9,9.55,5.61,3.37,0.63
127,3.97,6.28,7.63,4.22,6.32,3.74,2.37,2.94,0.87,3.47,2.39,0.49,6.14,7.2,1.97
128,0.6,1.98,1.15,5.7,7.13,4.42,5.33,7.65,2.85,6.2,1.62,4.44,6.49,4.42,0.02
129,0.44,2.26,2.9,1.73,6.71,7.48,7.1,0.85,0.34,9.72,8.03,1.62,1.17,5.81,3.84
130,0.35,7.24,1.82,2.86,2.93,5.59,6.93,5.97,3.96,4.77,3.32,5.77,5.33,1.04,2.12
